CNS5,GJ,Comp,NComp,P?,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,Epoch,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Jmag,Hmag,Ksmag,W1mag,SimbadName
3591,551,C,3,0,559.,5853498713190525696,70890,217.39232147201,-62.67607511677,2016.0000,768.07,0.06,-3781.74,769.47,-22.40,0.50,8.9847490,7.568535,5.357,4.835,4.384,4.195,CNS5 3591
3627,559,AB,3,1,,,71683,219.92040813010,-60.83514521897,1991.2500,754.81,4.11,-3679.25,473.67,,,,,,,,,CNS5 3627
4449,699,,,0,,4472832130942575872,87937,269.44850252544,+4.73942005111,2016.0000,547.02,0.05,-801.55,10362.39,,,8.1939745,6.958091,,,,,CNS5 4449
2653,11551,AB,2,1,,,,162.31470600000,-53.31838470000,2000.0000,500.51,0.11,-2754.77,358.72,,,,,10.733,9.563,8.841,7.872,CNS5 2653
2194,11286,,,0,,,,133.79475980000,-7.24514560000,2000.0000,439.00,2.40,-8123.70,673.20,,,,,,,,17.819,CNS5 2194
2674,406,,,0,,3864972938605115520,,164.10319030756,+7.00272694098,2016.0000,415.18,0.08,-3866.34,-2699.21,19.32,0.15,11.0383910,9.585450,7.085,6.482,6.084,5.836,CNS5 2674
2696,411,,,0,,762815470562110464,54035,165.83095967578,+35.94865303266,2016.0000,392.78,0.04,-580.06,-4776.59,,,6.5511720,5.475513,4.320,3.722,3.501,,CNS5 2696
1676,244,A,2,1,,,32349,101.28854105207,-16.71314306264,1991.2500,379.21,1.58,-546.01,-1223.07,,,,,,,,,CNS5 1676
1675,244,B,2,0,,2947050466531873024,,101.28662552099,-16.72093252602,2016.0000,374.51,0.26,-461.57,-914.52,,,8.5241330,8.398789,,,,,CNS5 1675
425,65,B,2,0,,5140693571158946048,,24.77167420821,-17.94768286001,2016.0000,373.84,0.56,3178.69,584.06,,,10.8178380,9.423653,,,,,CNS5  425
424,65,A,2,1,,5140693571158739840,,24.77155429345,-17.94829988713,2016.0000,369.93,0.27,3385.80,532.00,29.00,2.00,10.5075420,9.067688,6.283,5.690,5.343,5.115,CNS5  424
4678,729,,,0,,4075141768785646848,92403,282.45878901752,-23.83709744873,2016.0000,336.08,0.04,639.37,-193.96,,,9.1264140,7.898147,6.222,5.655,5.370,5.190,CNS5 4678
5844,905,,,0,,1926461164913660160,,355.48001525816,+44.17037570075,2016.0000,316.54,0.05,112.53,-1591.65,-77.76,0.00,10.3792770,9.017014,6.884,6.247,5.929,5.694,CNS5 5844
905,144.0,,,0,,5164707970261890560,16537,53.22829341518,-9.45816821629,2016.0000,310.58,0.16,-974.76,20.88,,,3.4657520,2.842150,2.228,1.880,1.776,-0.792,CNS5  905
5688,887,,,0,,6553614253923452800,114046,346.50391667960,-35.84716420822,2016.0000,304.16,0.02,6766.00,1330.29,8.17,0.14,6.5220323,5.491506,4.338,3.608,3.465,,CNS5 5688
2890,447,,,0,,3796072592206250624,57548,176.93768799004,+0.79911997024,2016.0000,296.36,0.03,607.30,-1223.03,,,9.6010000,8.327767,6.505,5.945,5.654,5.437,CNS5 2890
5586,866,ABC,3,1,,,,339.65069394500,-15.28964705186,2016.0000,293.60,0.90,2314.80,2295.30,,,,,,,,,CNS5 5586
5218,820,B,2,0,,1872046574983497216,104217,316.75366275256,+38.75607277206,2016.0000,286.01,0.03,4105.98,3155.94,-64.43,0.13,5.4506445,4.556912,3.546,2.895,2.544,,CNS5 5218
5217,820,A,2,1,,1872046609345556480,104214,316.74847929400,+38.76386244650,2016.0000,285.99,0.07,4164.21,3249.61,-65.94,0.14,4.7667130,3.977203,3.114,2.540,2.248,,CNS5 5217
1895,280.0,,,0,,,37279,114.82724201809,+5.22750757748,1991.2500,284.56,1.26,-714.59,-1036.80,,,,,,,,,CNS5 1895
4634,725,B,2,0,,2154880616774131712,91772,280.68308624583,+59.63514545482,2016.0000,283.86,0.03,-1400.26,1862.53,,,8.5247040,7.334221,,,,,CNS5 4634
4633,725,A,2,1,,2154880616774131840,91768,280.68307083523,+59.63835790775,2016.0000,283.86,0.02,-1311.68,1792.32,,,7.8543930,6.705933,5.189,4.741,4.432,,CNS5 4633
89,15,A,2,1,,385334230892516480,1475,4.61322625756,+44.02478674399,2016.0000,280.74,0.02,2891.52,411.83,11.51,0.14,7.2185670,6.167740,5.252,4.476,4.018,3.872,CNS5   89
90,15,B,2,0,,385334196532776576,,4.62530068122,+44.02874451664,2016.0000,280.74,0.03,2862.80,336.43,,,9.6866460,8.455489,6.789,6.191,5.948,,CNS5   90
2093,1111,,,0,,703790044252850688,,127.45009240231,+26.77328596508,2016.0000,279.26,0.08,-1113.69,-612.19,53.84,5.53,12.1674550,10.705456,8.235,7.617,7.260,6.946,CNS5 2093
5449,845,A,2,1,,6412595290592307840,108870,330.87240787960,-56.79725466123,2016.0000,274.84,0.11,3966.66,-2536.19,-40.50,0.23,4.3229040,3.610557,2.894,2.349,2.237,,CNS5 5449
448,71.0,,,0,,2452378776434477184,8102,26.00905505716,-15.93368020069,2016.0000,273.96,0.17,-1721.05,854.16,,,3.3003998,2.748299,2.149,1.800,1.794,-0.550,CNS5  448
919,1061,,,0,,4848140361962951552,,54.00339387736,-44.51436231605,2016.0000,272.19,0.04,745.65,-373.32,,,10.9954560,9.615727,7.523,7.015,6.610,,CNS5  919
5452,845,B,2,0,,6412596012146801152,,331.07645259656,-56.79381206688,2016.0000,270.66,0.70,3981.98,-2466.83,,,18.0561620,16.060108,11.908,11.306,11.208,10.718,CNS5 5452
334,54.1,,,0,,2358524597030794112,5643,18.13325425371,-16.99615487248,2016.0000,269.11,0.04,1205.07,637.55,,,10.4365250,9.134620,7.258,6.749,6.420,6.164,CNS5  334
1843,273,,,0,,3139847906307949696,36208,111.85462844259,+5.20938270171,2016.0000,264.16,0.05,571.23,-3691.49,,,8.5763880,7.353947,5.714,5.219,4.857,4.787,CNS5 1843
723,10393,,,0,,35227046884571776,,43.26964247679,+16.86437381898,2016.0000,261.00,0.12,3429.08,-3805.54,63.00,5.00,12.2631030,10.790128,8.394,7.883,7.585,7.145,CNS5  723
1304,191,,,0,,4810594479418041856,24186,77.95993735022,-45.04381269936,2016.0000,254.21,0.02,6491.22,-5708.61,244.99,0.18,8.0635520,7.059598,5.821,5.316,5.049,,CNS5 1304
5246,825,,,0,,6583272171336048640,105090,319.29501813810,-38.87245640070,2016.0000,251.91,0.04,-3258.97,-1145.86,20.56,0.13,5.9841040,5.039138,4.046,3.256,3.100,2.094,CNS5 5246
5550,860,AB,2,1,,,110893,337.00174035238,+57.69701975999,1991.2500,249.94,1.87,-865.47,-461.53,,,,,,,,,CNS5 5550
4651,12724,,,0,,6439125097427143808,,281.29804386226,-63.96056736658,2016.0000,249.67,0.15,2583.19,588.50,-18.00,2.00,14.0214800,12.451222,9.544,8.967,8.508,8.150,CNS5 4651
2647,11547,,,0,,5393446658454453632,,162.05388771667,-39.93962594731,2016.0000,247.28,0.06,-1179.31,-988.12,-11.00,2.00,14.0058820,12.463350,9.538,8.905,8.447,8.080,CNS5 2647
1828,11075,,,0,,,,110.61366160000,-5.67494590000,2000.0000,242.80,2.40,-904.10,352.00,,,,,,,,15.250,CNS5 1828
1610,234,,,0,,,30920,97.34581159163,-2.81247674867,1991.2500,242.32,3.12,705.28,-611.92,,,,,,,,,CNS5 1610
4043,628,,,0,,4330690742322011520,80824,247.57481416249,-12.66785108081,2016.0000,232.19,0.03,-94.21,-1183.92,-21.61,0.33,8.8018770,7.590719,5.950,5.373,5.075,,CNS5 4043
240,35,,,0,,2552928187080872832,3829,12.29674025046,+5.37655660843,2016.0000,231.81,0.02,1231.40,-2711.88,,,12.2991630,11.933642,11.688,11.572,11.498,11.410,CNS5  240
3092,473,A,2,1,,3902874650602495232,,188.31449280185,+9.02209162485,2016.0000,231.12,0.58,-1795.66,217.79,,,11.2351160,9.381813,6.995,6.397,6.042,5.835,CNS5 3092
19,1,,,0,,2306965202564744064,439,1.38328415235,-37.36774402806,2016.0000,230.12,0.04,5633.44,-2334.72,25.29,0.15,7.6824937,6.616270,5.328,4.828,4.523,4.403,CNS5   19
510,83.1,,,0,,76868614540049408,,30.05898704765,+13.04407120112,2016.0000,223.79,0.08,1096.46,-1771.53,,,10.6810620,9.383672,7.514,6.970,6.648,6.464,CNS5  510
3093,473,B,2,0,,3902874650601954816,,188.31467677588,+9.02182920834,2016.0000,223.51,0.53,-1710.47,203.10,,,11.2401620,9.539625,6.995,6.397,6.042,5.835,CNS5 3093
4343,687,,,0,,1637645127018395776,86162,264.10405257320,+68.33349763759,2016.0000,219.82,0.02,-320.67,-1269.89,,,8.0286400,6.867062,5.335,4.766,4.548,4.398,CNS5 4343
4293,674,,,0,,5951824121022278144,85523,262.17016392212,-46.89910489864,2016.0000,219.68,0.03,572.57,-880.58,,,8.3364310,7.193375,5.711,5.154,4.855,,CNS5 4293
4091,12393,,,0,,,,249.92017050000,-68.79428800000,2000.0000,219.60,2.30,578.10,-3107.50,,,,,,,,17.266,CNS5 4091
2648,3622,,,0,,3757613049856225792,,162.05518399901,-11.34280331974,2016.0000,219.35,0.08,579.02,-1530.08,-0.20,3.00,12.8374470,11.359858,8.857,8.263,7.926,7.662,CNS5 2648
2877,440,,,0,,5332606522595645952,57367,176.45664661730,-64.84305284610,2016.0000,215.72,0.02,2661.64,-344.93,,,11.4231040,11.230018,11.188,11.130,11.104,11.038,CNS5 2877
4921,1245,,,0,,2079073928612821760,,298.48192590176,+44.41290615923,2016.0000,214.60,0.06,349.36,-480.32,5.43,0.10,11.9083110,10.509522,8.275,7.728,7.387,7.117,CNS5 4921
4370,12549,,,0,,,,265.35095820000,+25.88867220000,2000.0000,214.30,2.80,-505.30,-1472.60,,,,,16.480,16.240,16.890,15.301,CNS5 4370
