CNS5,GJ,Comp,NComp,GaiaDR3,HIP,RAJ2000,DEJ2000,plx,e_plx,pmRA,pmDE,RV,e_RV,Gmag,RPmag,Ksmag,W1mag,SimbadName
730,"10400 ","    ",,,,43.5398152,2.3996059,146.1,1.5,2562.61,222.0,,,,,16.006,15.807," CNS5  730"
659,"105   ","B   ",2,18565464288396416,,39.07167733324,6.87808989817,138.49,0.05,1801.67,1450.49,,,10.333128,9.096833,6.574,6.481," CNS5  659"
658,"105   ","A   ",2,19316224572460416,12114,39.02838450658,6.89333910758,138.34,0.36,1778.59,1477.31,25.23,0.13,5.4983196,4.820522,3.481,2.598," CNS5  658"
723,"10393 ","    ",,35227046884571776,,43.26964247679,16.86437381898,261.0,0.12,3429.08,-3805.54,63.0,5.0,12.263103,10.790128,7.585,7.145," CNS5  723"
510,"83.1  ","    ",,76868614540049408,,30.05898704765,13.04407120112,223.79,0.08,1096.46,-1771.53,,,10.681062,9.383672,6.648,6.464," CNS5  510"
438,"68    ","    ",,96331172942614528,7981,25.62258568628,20.26551918226,130.82,0.18,-300.74,-673.54,-33.58,0.17,4.99968,4.417333,3.285,3.274," CNS5  438"
688,"109   ","    ",,114207651462714880,12781,41.06888178038,25.52175109435,130.24,0.03,864.53,-363.2,,,9.467294,8.316322,5.961,," CNS5  688"
90,"15    ","B   ",2,385334196532776576,,4.62530068122,44.02874451664,280.74,0.03,2862.8,336.43,,,9.686646,8.455489,5.948,," CNS5   90"
89,"15    ","A   ",2,385334230892516480,1475,4.61322625756,44.02478674399,280.74,0.02,2891.52,411.83,11.51,0.14,7.218567,6.16774,4.018,3.872," CNS5   89"
317,"53    ","    ",,411413822074322432,5336,17.0947498612,54.91320397756,130.29,0.5,3468.25,-1564.84,-96.93,0.18,4.9480124,4.404382,3.505,3.311," CNS5  317"
239,"34    ","A   ",2,425040000962559616,3821,12.28522738152,57.81272812559,168.83,0.19,1078.61,-551.13,,,3.3200667,2.848621,1.988,," CNS5  239"
238,"34    ","B   ",2,425040000962497792,3821,12.28118476422,57.81573918855,168.75,0.02,1144.69,-469.67,10.45,0.14,6.762044,5.855964,3.881,," CNS5  238"
1119,"169.1 ","A   ",2,470826482637310080,21088,67.80919062833,58.96797997155,181.28,0.06,1300.36,-2046.11,,,9.702565,8.451808,5.717,," CNS5 1119"
1121,"169.1 ","B   ",2,470826482637310848,,67.81389197465,58.96948120514,181.3,0.03,1334.78,-1947.64,,,12.33619,12.051627,,," CNS5 1121"
809,"10442 ","    ",,,,48.3583505,78.1289761,135.6,2.8,73.9,53.8,,,,,,15.953," CNS5  809"
2217,"3522  ","ABC ",3,,,134.73635,8.47245119216,147.66,1.98,371.2,-323.4,,,,,,," CNS5 2217"
2533,"388   ","    ",,625453654702751872,,154.89881370111,19.86980990545,201.45,0.03,-498.62,-43.43,,,8.204091,7.032551,4.593,," CNS5 2533"
2209,"1116  ","B   ",2,660597997697274752,,134.55869151139,19.76257888199,196.28,0.26,-937.13,-34.56,,,12.48557,11.024552,,6.642," CNS5 2209"
2210,"1116  ","A   ",2,660597997696173440,,134.55918967907,19.76295984349,194.16,0.15,-767.06,-100.18,,,11.96628,10.547036,,6.642," CNS5 2210"
